term,patterns,total_hits,henry_hits,cady_hits,first_date,last_date,example_henry
rent,rent you out | rent her out | renting you | renting her,1,1,0,2025-01-17,2025-01-17,gonna rent you out to people:
cost/keeping,keeping you | keeping her | keep you | keep her | cost of you,14,7,7,2024-12-07,2026-04-27,not good for much except bashing rocks together and keeping your holes slack
control,control | controlling | total control | under my control,12,8,4,2024-12-07,2026-04-02,I hope you know once you’re under my control you won’t ever cum from your pussy again
joke/mask,joke | joking | kidding | jk  | only joking | not serious,20,12,8,2024-07-10,2026-04-25,you’re fucking kidding me
crazy,crazy | mad | insane | you're crazy | you're mad,108,39,69,2024-07-06,2026-05-02,"Unfortunately so, but stats is crazy"
sorry/repair,sorry | apologise | apologize | forgive | won't happen | didn't mean,144,74,70,2024-07-06,2026-05-02,"Hey. I’ve been wanting to send you a message but I don’t know where to start so I’m just going to jump in. I’m sorry for everything, I’ve missed you and I hope you’re well. Would love to hear what you"
abuse_named,abuse | abusive | abused,7,3,4,2025-08-06,2026-05-02,"There will eventually be a limit to the amount of abuse I can take, but I do still want to support you"
leave/exit,i will leave | i'm leaving | i am leaving | leaving you | want to leave | need to leave | annulment | divorce,8,2,6,2024-12-21,2026-04-28,I expect you’ll be chained to it most of the time but if we ever want to leave my room a portable one will be useful/necessary
visa/deport,visa | deport | home office | immigration | sponsor | leave the uk,43,11,32,2024-11-07,2026-04-22,And either find a visa sponsor or the nearest registry office ð
Holly,holly,16,10,6,2024-07-06,2026-04-17,Not at all. I was far more embarrassed about Holly’s behaviour
Dan," dan  |  dan, |  dan. | dan's",3,2,1,2026-04-27,2026-04-27,"Regarding the Dan message: it’s a good message and he \*\*should\*\* be able to hear it from you, plus you \*\*should\*\* be comfortable being assertive when you want to be"
passport/docs,passport | documents | id card | papers,14,5,9,2024-11-27,2026-04-01,For me this is ‘sign some papers so we can start our relationship’
trophy/slut/holes,trophy | slut | holes | hole | property | belong to me,371,257,114,2024-08-10,2026-05-02,I’m just glad there’s no longer a massive hole in the garden
violence_direct,physically violent | hit me | hurt me | grabbed me | pushed me | you hit | you hurt | you grabbed,15,8,7,2024-08-19,2026-05-02,Just the worry hit me
scared/unsafe,scared | unsafe | afraid | frightened | fear for,19,5,14,2024-12-08,2026-05-02,Am going to miss board games I’m afraid ð
