pattern_id,tag,category,description,total_occurrences,henry_occurrences,cady_occurrences,first_seen,last_seen,span_days,legal_reference,representative_quote,escalation_note
P022,SEXUAL_OBJECTIFICATION,SEXUAL,"Reducing victim to body parts or sexual function: 'holes', 'trophy slut', 'body', dehumanising descriptors",287,210,77,2024-08-10,2026-04-29,626,SOA 2003 s.74 (consent context); SCA 2015 s.76 (degradation tactic),I’m just glad there’s no longer a massive hole in the garden,
P019,REPAIR_CYCLE,CYCLE,"Post-incident apology, reconciliation, or affection (sorry, miss you, forgive). Key: what happened immediately before?",187,83,104,2024-07-06,2026-05-02,665,CPS CC guidance: 'full picture' and 'layered spectrum'; DASH indicator,"Hey. I’ve been wanting to send you a message but I don’t know where to start so I’m just going to jump in. I’m sorry for everything, I’ve missed you and I hope you’re well. Would love to hear what you’ve been up to?",
P010,DEPENDENCY_IMMIGRATION,DEPENDENCY,"References to visa, sponsorship, passport, Home Office, deportation that establish or exploit immigration dependency",38,9,29,2024-12-06,2026-04-22,501,DA Act 2021 s.1(4); DDVC / MVDAC concessions; Immigration Rules App FM,I’m trying to apply for a few sponsorship jobs a week,
P004,CONTROL_OWNERSHIP,CONTROL,"Language treating victim as property: 'my slut', 'keep you', 'trophy', 'mine'",17,12,5,2025-01-16,2025-08-06,202,SCA 2015 s.76; Duluth 'Using Male Privilege' tactic,Just fucking my slut exactly how I like,
P018,MONITORING,CONTROL,"Checking on location, movements, communications, or social contacts",17,7,10,2024-08-17,2026-04-29,620,SCA 2015 s.76; Duluth 'Using Isolation'; tech abuse framework,Where are you living now?,
P013,FEAR_BY_CADY,DISTRESS,"Cady explicitly states fear, being scared, or feeling unsafe",16,0,16,2024-12-07,2026-04-30,509,DA Act 2021 s.1(3); DASH indicator; R v Dhaliwal [2006] (psych injury),You know I have no fear,
P026,TRIANGULATION_EX,TRIANGULATION,"Use of ex-partner (Holly) to create jealousy, comparison, or destabilisation",16,10,6,2024-07-06,2026-04-17,650,Duluth 'Using Emotional Abuse'; SCA 2015 s.76 pattern element,You still with Holly?,
P012,EXIT_ATTEMPT,EXIT,Victim attempts or signals desire to leave the relationship,12,0,12,2024-10-19,2026-05-02,559,Key indicator of victim's resistance — important for disproving consent to coercive regime,Hoping I’m done training Today so I can make some tips,
P015,HUMOUR_MASK,DELIVERY_MECHANISM,"Harmful, controlling, or threatening content packaged as joke/banter/lol. Mechanism: makes the statement deniable ('just joking') while still landing.",11,1,10,2025-01-05,2025-06-30,176,CPS CC guidance: 'perpetrators often use humour to normalise behaviour'; Relevant to establishing course of conduct under SCA 2015 s.76,Im not getting my asa hole out for annmarie lol,
P020,SEXUAL_BOUNDARY_TEST,SEXUAL,Escalating requests or framing to test and expand sexual limits,9,1,8,2025-01-25,2025-05-29,124,SOA 2003 s.74; R v R [1991] (no marital exemption),"I know you’ve been a good boy and gotten tested, make sure you share the results with her (or here even better) as it’s happened before that guys have assured me they’ve been tested and are just lying.  I’ll be following this up.  If the results aren’t back I’ll leave it to her discretion whether sh",
P021,SEXUAL_COMMERCIALISATION,SEXUAL,"Framing victim's sexual availability as commodity: 'rent you out', 'pimp', 'paying for access', financial + sexual language combined",9,3,6,2025-01-17,2026-04-27,465,SOA 2003 s.52-53 (controlling prostitution); SCA 2015 s.76,gonna rent you out to people:,
P014,FUTURE_FAKE,DELIVERY_MECHANISM,"False promises about future life, home, children, to maintain relationship",6,6,0,2024-09-06,2026-04-25,596,Relevant to any duress/undue influence claim; establishes psychological hook,Well I promise to do a suitably big fanfare when I next see you,
