tag,description,legal_reference,category
CONTROL_OWNERSHIP,"Language treating victim as property: 'my slut', 'keep you', 'trophy', 'mine'",SCA 2015 s.76; Duluth 'Using Male Privilege' tactic,CONTROL
CONTROL_DECISION,"Perpetrator making unilateral decisions about victim's body, money, movements",SCA 2015 s.76 (substantially adverse effect on day-to-day activities),CONTROL
CONTROL_MOVEMENT,Monitoring or restricting victim's physical location or travel,SCA 2015 s.76; Duluth 'Using Isolation' tactic,CONTROL
CONTROL_TOTAL,"Explicit statements of total/complete control ('total control', 'won't ever…')",SCA 2015 s.76 — continuous or repeated course of conduct,CONTROL
DEPENDENCY_IMMIGRATION,"References to visa, sponsorship, passport, Home Office, deportation that establish or exploit immigration dependency",DA Act 2021 s.1(4); DDVC / MVDAC concessions; Immigration Rules App FM,DEPENDENCY
DEPENDENCY_HOUSING,"Housing used as leverage: eviction threats, 'where will you go', lock-outs",DA Act 2021 s.1(4); Family Law Act 1996 Part IV (occupation orders),DEPENDENCY
DEPENDENCY_FINANCIAL,"Financial dependency established or exploited: paying rent, covering costs, 'you need me financially'",DA Act 2021 s.1(4) economic abuse; Duluth 'Economic Abuse' tactic,DEPENDENCY
DEPENDENCY_EMPLOYMENT,"Employment used as leverage: threatening to affect job, controlling work schedule",DA Act 2021 s.1(4); SCA 2015 s.76,DEPENDENCY
SEXUAL_OBJECTIFICATION,"Reducing victim to body parts or sexual function: 'holes', 'trophy slut', 'body', dehumanising descriptors",SOA 2003 s.74 (consent context); SCA 2015 s.76 (degradation tactic),SEXUAL
SEXUAL_COMMERCIALISATION,"Framing victim's sexual availability as commodity: 'rent you out', 'pimp', 'paying for access', financial + sexual language combined",SOA 2003 s.52-53 (controlling prostitution); SCA 2015 s.76,SEXUAL
SEXUAL_PRESSURE,"Pressure to engage in sexual acts, removal of the ability to say no, statements that she 'can't refuse'",SOA 2003 s.74 (freely given consent); R v Lawrence [2020] (stealthing),SEXUAL
SEXUAL_HUMILIATION,Sexual degradation used as control tactic outside explicit consent context,SOA 2003; SCA 2015 s.76 (degradation),SEXUAL
SEXUAL_BOUNDARY_TEST,Escalating requests or framing to test and expand sexual limits,SOA 2003 s.74; R v R [1991] (no marital exemption),SEXUAL
SEXUAL_AFTERCARE_FAIL,Failure to provide emotional/physical aftercare in a disclosed power-exchange relationship,SOA 2003 s.74 consent conditions; SCA 2015 s.76,SEXUAL
HUMOUR_MASK,"Harmful, controlling, or threatening content packaged as joke/banter/lol. Mechanism: makes the statement deniable ('just joking') while still landing.",CPS CC guidance: 'perpetrators often use humour to normalise behaviour'; Relevant to establishing course of conduct under SCA 2015 s.76,DELIVERY_MECHANISM
MINIMISATION,"Downplaying the severity of behaviour: 'just', 'only a bit', 'overreacting'","SCA 2015 s.76 pattern element; Duluth 'Minimising, Denying, Blaming'",REALITY_DISTORTION
DENIAL,Direct denial of events that occurred,SCA 2015 s.76; relevant to credibility,REALITY_DISTORTION
BLAME_SHIFT,Attributing perpetrator's conduct to victim's behaviour,"Duluth 'Minimising, Denying, Blaming'; CPS CC guidance (DARVO recognition)",REALITY_DISTORTION
REALITY_UNDERMINE,"Causing victim to doubt their own memory, perception, or sanity",DA Act 2021 s.1(3) psychological abuse; SCA 2015 s.76,REALITY_DISTORTION
